"Title","ID","Created Date","Updated Date","Owner","Order"
"Expired","00e57626-3239-4bd8-9ebb-feab89bef88a",2023-11-03T23:47:29Z,2023-12-02T19:14:55Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",4
"New","63a62c54-8a55-4959-831f-d56f19aebacd",2023-11-03T23:46:46Z,2023-12-02T19:14:52Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",1
"Pending walk-thru","7ec954eb-8984-46bc-bbcc-df49b03c817a",2023-11-03T23:46:49Z,2023-12-02T19:14:53Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",2
"Move to Quoting","b4e03448-f5a5-482c-949c-c393d4944658",2023-11-03T23:47:24Z,2023-12-02T19:14:54Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",3
"Archived","c3f9a1fc-04bf-45c1-a865-306c04752357",2023-11-03T23:47:35Z,2023-12-02T19:14:56Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",5
