ID,propertyFullAddress,houseAddress,city,state,zip,propertyType,bedrooms,bathrooms,floors,sizeSqft,yearBuilt,redfinLink,zillowLink,createdDate,updatedDate,Owner
1a265d07-21b8-4234-bfb7-5b33d8e0a881,"28121 Robin Ave, Santa Clarita, CA, 91350",28121 Robin Ave,Santa Clarita,CA,91350,Single Family,2,1,1,799,1976,https://www.redfin.com/CA/Santa-Clarita/28121-Robin-Ave-91350/unit-136/home/5938061,https://www.zillow.com/homedetails/28121-Robin-Ave-Santa-Clarita-CA-91350/20192243_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
99837a08-297e-44ac-8a44-0bb42a4756b6,"1902 N Screenland Dr, Burbank, CA, 91505",1902 N Screenland Dr,Burbank,CA,91505,Single Family,2,1,1,857,1939,,https://www.zillow.com/homes/1902%20N%20Screenland%20Dr%2C%20Burbank%2C%20CA%2091505%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
e8a562cb-6aba-41a5-a5c0-ddd2c56e533b,"3175 Corpus Christi Ave, Simi Valley, CA 93063",3175 Corpus Christi Ave,Simi Valley,CA,93063,Single Family,3,2,1,1252,1964,,https://www.zillow.com/homedetails/3175-Corpus-Christi-Ave-Simi-Valley-CA-93063/16447456_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
a7e79279-c306-4548-8178-75579a40eb22,"3711 Calle Jazmin, Calabasas, CA, 91302",3711 Calle Jazmin,Calabasas,CA,91302,Single Family,3,3,2,1581,1992,https://www.redfin.com/CA/Calabasas/3711-Cll-Jazmin-91302/home/3533495,https://www.zillow.com/homedetails/3711-Calle-Jazmin-Calabasas-CA-91302/19898197_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8bd9ab9f-1796-461a-ab77-8b3a1f118954,"6673 Lederer Ave, west hills, CA, 91307",6673 Lederer Ave,west hills,CA,91307,Single Family,3,2,1,1790,1959,,https://www.zillow.com/homes/6673%20Lederer%20Ave%2C%20west%20hills%2C%20CA%2091307%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
401b1c3d-8150-49be-91be-dfd12adf574c,"5334 Lindley Ave suite 314, Encino, CA, 91316",5334 Lindley Ave suite 314,Encino,CA,91316,Condominium,1,1,1,823,1970,,"https://www.zillow.com/homes/5334-Lindley-Ave-.num.314-Encino,-CA-91316_rb/19938376_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8aca96c0-60ca-4ea5-9216-0406fb1b86df,"1170 Valley View Ave, Pasadena, CA, 91107",1170 Valley View Ave,Pasadena,CA,91107,Single Family,3,2,1,1229,1951,,"https://www.zillow.com/homes/1170-Valley-View-Ave-Pasadena,-CA-91107_rb/20880676_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cdcb9f6f-d325-45fb-afd1-7200d9afcadb,"2003 Velez Dr, Rancho Palos Verdes, CA, 90275",2003 Velez Dr,Rancho Palos Verdes,CA,90275,Single Family,4,2,1,2013,1958,https://www.redfin.com/CA/Rancho-Palos-Verdes/2003-Velez-Dr-90275/home/7729600,https://www.zillow.com/homedetails/2003-Velez-Dr-Rancho-Palos-Verdes-CA-90275/21346019_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
018cacf1-0817-4745-a38b-9e40ae8da13d,"2251 solano way, Oxnard, CA, 93033",2251 solano way,Oxnard,CA,93033,Single Family,3,2,1,1150,1980,,"https://www.zillow.com/homes/2251-Solano-Way-Oxnard,-CA-93033_rb/16408995_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
a47ff87f-6de3-4f20-8fbf-ed3d4765863a,"22000 Collins St suite 4, Woodland Hills, CA, 91364",22000 Collins St suite 4,Woodland Hills,CA,91364,Condominium,3,2.5,2,1502,1980,https://www.redfin.com/CA/Woodland-Hills/22000-Collins-St-91367/unit-4/home/3989111,https://www.zillow.com/homedetails/22000-Collins-St-APT-4-Woodland-Hills-CA-91367/19929054_zpid/?,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
59bced84-ba15-49dc-a072-e9d703a40aed,"15028 Gilmore St, Van Nuys, CA, 91411",15028 Gilmore St,Van Nuys,CA,91411,Single Family,2,1,1,1093,1936,,"https://www.zillow.com/homes/15028-Gilmore-St-Van-Nuys,-CA-91411_rb/19969062_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
abffd442-6eb8-4fbe-8c68-4f45da24e06a,"519 Stepney st, Inglewood , CA, 90302",519 Stepney st,Inglewood,CA,90302,Single Family,5,2,1,1728,1921,,https://www.zillow.com/homes/519%20Stepney%20st%2C%20Inglewood%20%2C%20CA%2090302%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
afc08118-db7d-4936-81bc-9d6549d78cc2,"20431 Lisa Gail Drive, Saugus, CA, 91350",20431 Lisa Gail Drive,Saugus,CA,91350,Single Family,4,3,2,2240,1986,,https://www.zillow.com/homes/20431%20Lisa%20Gail%20Drive%2C%20Saugus%2C%20CA%2091350%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cb28909a-4a8f-4812-9cda-0bff53341c86,"22328 De Grasse Drive, Calabasas, CA, 91302",22328 De Grasse Drive,Calabasas,CA,91302,Single Family,4,2,2,2290,1964,,https://www.zillow.com/homes/22328%20De%20Grasse%20%20Drive%2C%20Calabasas%2C%20CA%2091302_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
b53a8feb-6828-4615-b0e4-002cbdabc77c,"12451 Daryl Ave, Granada Hills, CA, 91344",12451 Daryl Ave,Granada Hills,CA,91344,Single Family,4,3,1,2505,1966,,https://www.zillow.com/homes/12451%20Daryl%20Ave%2C%20Granada%20Hills%2C%20CA%2091344%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3ae7f3d6-e467-41d7-9932-dc3b27629a06,"17533 Dearborn St, Northridge, CA, 91325",17533 Dearborn St,Northridge,CA,91325,Single Family,4,2,1,2477,1955,,"https://www.zillow.com/homes/17533-Dearborn-St-Northridge,-CA-91325_rb/20176905_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
e94118c2-967c-4a25-9432-fd33b49a2d97,"29220 Deep Shadow Drive, Agoura Hills, CA, 91301",29220 Deep Shadow Drive,Agoura Hills,CA,91301,Single Family,5,3,2,2400,1980,https://www.redfin.com/CA/Agoura-Hills/29220-Deep-Shadow-Dr-91301/home/3350454,https://www.zillow.com/homedetails/29220-Deep-Shadow-Dr-Agoura-Hills-CA-91301/19886826_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
823acc84-670f-4e18-9642-c8fd9029d8c1,"695 e colorado blvd, Pasadena, CA, 91101",695 e colorado blvd,Pasadena,CA,91101,Single Family,1,1,1,1000,1953,,https://www.loopnet.com/Listing/695-Colorado-Blvd-Pasadena-CA/25225900/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
6521a7dc-ec52-4f6e-9b65-2e02d0779687,"54 Barolo, Rancho Mirage, CA, 92270",54 Barolo,Rancho Mirage,CA,92270,Single Family,2,2,1,1200,1900,,https://www.zillow.com/homes/54%20Barolo%2C%20Rancho%20Mirage%2C%20CA%2092270%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3ec7a4f0-9028-4b8d-a239-d462e07dc651,"1023 Via Colinas, Westlake Village, CA, 91362",1023 Via Colinas,Westlake Village,CA,91362,Townhome,3,2.5,2,1435,1940,https://www.redfin.com/CA/Westlake-Village/1023-Via-Colinas-91362/home/4684662,https://www.zillow.com/homedetails/2100-S-Spaulding-Ave-Los-Angeles-CA-90016/20597962_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
0f98c63c-f80d-4ecf-81ed-36c308986f35,"7539 Bobbyboyar Ave, West Hills, CA, 91304",7539 Bobbyboyar Ave,West Hills,CA,91304,Single Family,4,3,2,2736,1977,,https://www.zillow.com/homes/7539%20Bobbyboyar%20Ave%2C%20West%20Hills%2C%20CA%2091304%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d292b3d9-6fd4-439e-85aa-e18f3b5a96e3,"2412 Beverwil Dr, Los Angeles, CA, 90034",2412 Beverwil Dr,Los Angeles,CA,90034,Single Family,3,2,1,1644,1948,https://www.redfin.com/CA/Los-Angeles/2412-Beverwil-Dr-90034/home/6791786,https://www.zillow.com/homedetails/2412-Beverwil-Dr-Los-Angeles-CA-90034/20494439_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
b25e5862-9d7b-4314-be21-cc397f1a282d,"603 S Mansfield Ave, Los Angeles, CA, 90036",603 S Mansfield Ave,Los Angeles,CA,90036,Single Family,3,2,1,1936,1924,,"https://www.zillow.com/homes/603-S-Mansfield-Ave-Los-Angeles,-CA-90036_rb/20775743_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
01d97138-441c-4312-b71d-2f95fa1c23bc,"11945 Vara Pl, Granada Hills, CA, 91344",11945 Vara Pl,Granada Hills,CA,91344,Single Family,5,6,2,4361,1990,,"https://www.zillow.com/homes/11945-Vara-Pl-Granada-Hills,-CA-91344_rb/20104627_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
28c4339e-ae5a-4166-8707-4950a8afd612,"13722 Wyandote St, Van Nuys, CA, 91405",13722 Wyandote St,Van Nuys,CA,91405,Single Family,1,1,1,1111,2000,,https://www.zillow.com/homes/13722%20Wyandote%20St%2C%20Van%20Nuys%2C%20CA%2091405%2C%20US_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3e2ec06f-bc76-4bf5-b5d4-ffb7290326b7,"10794 Wilkins ave suite 404, Los angeles, CA, 90024",10794 Wilkins ave suite 404, Los angeles,CA,90024,Condominium,2,3,2,1725,1981,https://www.redfin.com/CA/Los-Angeles/10794-Wilkins-Ave-90024/unit-404/home/6803767,"https://www.zillow.com/homes/10794-Wilkins-Ave-.num.404-Los-Angeles,-CA-90024_rb/20505109_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3b4c9fee-1f5c-46fe-b3f2-dd2ca59127fc,"4900 La Crescenta Blvd, La Crescenta, CA, 91214",4900 La Crescenta Blvd,La Crescenta,CA,91214,Single Family,4,3,1,2956,2005,https://www.redfin.com/CA/La-Crescenta-Montrose/4900-La-Crescenta-Ave-91214/home/7242952,https://www.zillow.com/homedetails/4900-La-Crescenta-Ave-La-Crescenta-CA-91214/20899982_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d22c0bd8-e08c-4c75-99ba-2c86d8b243ce,"27543 Berkshire Hills Pl, Valencia, CA, 91354",27543 Berkshire Hills Pl,Valencia,CA,91354,Single Family,5,3,2,2253,1993,,https://www.zillow.com/homes/27543%20Berkshire%20Hills%20Pl%2C%20Valencia%2C%20CA%2091354%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8a44f690-574f-47a5-a7f0-8fa24fac5913,"27152 Barada Ave, Santa Clarita, CA, 91350",27152 Barada Ave,Santa Clarita,CA,91350,Single Family,3,2,1,1188,1964,,"https://www.zillow.com/homes/27152-Barada-Ave-Santa-Clarita,-CA-91350_rb/20191136_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
